id_empleado,numero_identificacion,nombre_completo,cargo,telefono,correo,fecha_contratacion,activo,creado_en,modificado_en,creado_por,modificado_por
21,0917263548,Daniela Alejandra Zambrano Loor,Cajero,+593991029384,daniela.zambrano@datamart.com,2024-05-12,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
22,1728374650,Nicolás Alejandro Vargas Mendoza,Cajero,+593987162534,nicolas.vargas@datamart.com,2024-05-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
23,0105847362,Valeria Nicole Ortega Reyes,Cajero,+593993847261,valeria.ortega@datamart.com,2024-06-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
24,1719283755,Sebastián Francisco Herrera Paz,Cajero,+593982736152,sebastian.herrera@datamart.com,2024-06-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
25,0923847162,Paulina Elizabeth Andrade Cueva,Cajero,+593994857261,paulina.andrade@datamart.com,2024-07-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
26,1720394811,Diego Armando Cordero Suárez,Cajero,+593987162543,diego.cordero@datamart.com,2024-07-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
27,1827364950,Andrea Michelle Benítez Franco,Cajero,+593992837401,andrea.benitez@datamart.com,2024-07-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
28,1759483012,Matías Ezequiel Peralta Luna,Cajero,+593983746192,matias.peralta@datamart.com,2024-08-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
29,0911827365,Laura Cristina Miranda Rosales,Cajero,+593991029374,laura.miranda@datamart.com,2024-08-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
30,1721827394,Felipe Antonio Novoa Plaza,Cajero,+593982736491,felipe.novoa@datamart.com,2024-08-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
31,0106847392,Carla Estefanía Maldonado Villa,Cajero,+593993847102,carla.maldonado@datamart.com,2024-09-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
32,1718273640,Braulio Ernesto Jaramillo Cobo,Cajero,+593981726354,braulio.jaramillo@datamart.com,2024-09-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
33,0922837461,Isabel Carolina Serrano Flores,Cajero,+593994827361,isabel.serrano@datamart.com,2024-09-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
34,1729384610,Jonathan David Vivanco Ojeda,Cajero,+593982736102,jonathan.vivanco@datamart.com,2024-10-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
35,1857364529,Verónica Alexandra Guitiérrez,Cajero,+593994857201,veronica.gutierrez@datamart.com,2024-10-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
36,1759382710,Leonardo Gabriel Arias Terán,Cajero,+593981029374,leonardo.arias@datamart.com,2024-11-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
37,0912837462,Mariana de Jesús Palacios Soler,Cajero,+593992837461,mariana.palacios@datamart.com,2024-11-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
38,1721827363,Emilio José Coronel Carrión,Cajero,+593982736451,emilio.coronel@datamart.com,2024-12-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
39,0107849301,Ximena Patricia Soria Lucero,Cajero,+593993847201,ximena.soria@datamart.com,2024-12-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
40,1717263549,Fernando Alfonso Galarza Real,Cajero,+593981726394,fernando.galarza@datamart.com,2025-01-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
41,0924837465,Adriana Elizabeth Chiriboga Paz,Cajero,+593994827310,adriana.chiriboga@datamart.com,2025-01-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
42,1729384501,Roberto Carlos Villacís León,Cajero,+593982736194,roberto.villacis@datamart.com,2025-02-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
43,1858473620,Tatiana Maria Bustamante Vélez,Cajero,+593995847201,tatiana.bustamante@datamart.com,2025-02-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
44,1759483610,Gabriel Ignacio Freire Ortiz,Cajero,+593981029347,gabriel.freire@datamart.com,2025-03-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
45,0913847261,Cristina Alejandra Vallejo Luz,Cajero,+593992837104,cristina.vallejo@datamart.com,2025-03-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
46,1715263749,Manuel Alberto Solórzano Mora,Bodeguero,+593984728193,manuel.solorzano@datamart.com,2023-05-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
47,0921837465,Álvaro Javier Montenegro Ruiz,Bodeguero,+593992837415,alvaro.montenegro@datamart.com,2023-06-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
48,1759283746,Héctor Danilo Chaves Bastidas,Bodeguero,+593981029374,hector.chaves@datamart.com,2023-07-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
49,0104857263,Richard Geovanny Pinargote Aliat,Bodeguero,+593993847261,richard.pinargote@datamart.com,2023-08-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
50,1827364501,Vicente Eduardo Orellana Noboa,Bodeguero,+593982736410,vicente.orellana@datamart.com,2023-09-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
51,1729483710,César Augusto Samaniego Luna,Bodeguero,+593994827103,cesar.samaniego@datamart.com,2023-10-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
52,0911224455,Gonzalo Mauricio Falconí Vera,Bodeguero,+593987766551,gonzalo.falconi@datamart.com,2023-11-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
53,1755449911,Franklin Stalin Armijos Moro,Bodeguero,+593995544332,franklin.armijos@datamart.com,2023-11-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
54,1716273849,Guillermo Enrique Segovia Melo,Bodeguero,+593984728361,guillermo.segovia@datamart.com,2024-01-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
55,0922837452,Luis Alfredo Piedra Cordero,Bodeguero,+593992837452,luis.piedra@datamart.com,2024-01-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
56,1758473610,Alex Giovanny Portilla Ayala,Bodeguero,+593981029352,alex.portilla@datamart.com,2024-02-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
57,0105849302,Walter Leonel Sisalema Yánez,Bodeguero,+593993847103,walter.sisalema@datamart.com,2024-02-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
58,1828374619,Hugo Ernesto Rivadeneira Terán,Bodeguero,+593982736492,hugo.rivadeneira@datamart.com,2024-03-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
59,1729384562,Nelson Fabián Quishpe Guamán,Bodeguero,+593994827194,nelson.quishpe@datamart.com,2024-03-25,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
60,0912837453,Wilson Patricio Saltos Vaca,Bodeguero,+593987766102,wilson.saltos@datamart.com,2024-04-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
61,1756453421,Nixon Alfredo Toapanta Tapia,Bodeguero,+593995544102,nixon.toapanta@datamart.com,2024-04-30,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
62,1717283940,Jorge Luis Sangucho Chicaiza,Bodeguero,+593984728104,jorge.sangucho@datamart.com,2024-05-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
63,0923847263,Marco Vinicio Chimbo Pilamunga,Bodeguero,+593992837105,marco.chimbo@datamart.com,2024-06-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
64,1759483711,Edwin Giovanny Simbaña Tipán,Bodeguero,+593981029304,edwin.simbana@datamart.com,2024-06-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
65,0106847301,Christian Roberto Yugcha Masa,Bodeguero,+593993847192,christian.yugcha@datamart.com,2024-07-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
66,1716253449,Bryan Alexander Narváez Loza,Reponedor,+593984728302,bryan.narvaez@datamart.com,2024-05-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
67,0922837494,Kevin Steven Tipán Chicaiza,Reponedor,+593992837492,kevin.tipan@datamart.com,2024-05-25,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
68,1758293841,Erick Francisco Benavides Paz,Reponedor,+593981029381,erick.benavides@datamart.com,2024-06-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
69,0104859302,Jonathan Alexis Carvajal Mora,Reponedor,+593993847193,jonathan.carvajal@datamart.com,2024-06-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
70,1827364910,Jefferson David Males Farinango,Reponedor,+593982736481,jefferson.males@datamart.com,2024-07-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
71,1729483622,Anthony Joel Cando Lema,Reponedor,+593994827184,anthony.cando@datamart.com,2024-07-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
72,0911225566,William Geovanny Chango Toaza,Reponedor,+593987766491,william.chango@datamart.com,2024-08-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
73,1755448822,Danny Michael Pilataxi Guano,Reponedor,+593995544182,danny.pilataxi@datamart.com,2024-08-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
74,1717283649,Marlon Vinicio Chuquimarca Calo,Reponedor,+593984728105,marlon.chuquimarca@datamart.com,2024-09-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
75,0923837411,Henry Javier Quishpe Tituaña,Reponedor,+593992837194,henry.quishpe@datamart.com,2024-09-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
76,1759473620,José Luis Guamán Morocho,Reponedor,+593981029481,jose.guaman@datamart.com,2024-10-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
77,0105847291,Luis Antonio Chasiliquina Cholo,Reponedor,+593993847182,luis.chasiliquina@datamart.com,2024-10-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
78,1828374920,Efraín Alejandro Quinatoa Lema,Reponedor,+593982736195,efrain.quinatoa@datamart.com,2024-11-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
79,1729384910,Darwin Patricio Imbaquingo Ruiz,Reponedor,+593994827382,darwin.imbaquingo@datamart.com,2024-11-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
80,0912837941,Alexis Stalin Sisalema Chango,Reponedor,+593987766291,alexis.sisalema@datamart.com,2024-12-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
81,1756453910,Carlos Alberto Pallo Toapanta,Reponedor,+593995544291,carlos.pallo@datamart.com,2024-12-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
82,1718283910,Ángel Geovanny Yupa Chimbo,Reponedor,+593984728291,angel.yupa@datamart.com,2025-01-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
83,0924847291,Santiago Israel Coque Toaza,Reponedor,+593992837291,santiago.coque@datamart.com,2025-01-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
84,1759483920,Jimmy Alexander Guanoluisa Lema,Reponedor,+593981029491,jimmy.guanoluisa@datamart.com,2025-02-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
85,0107847391,Juan Gabriel Masaquiza Chango,Reponedor,+593993847291,juan.masaquiza@datamart.com,2025-02-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
86,1716273491,Rosa Elena Chimborazo Lema,Auxiliar,+593984728491,rosa.chimborazo@datamart.com,2024-08-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
87,0922837563,Martha Beatriz Guano Toaza,Auxiliar,+593992837563,martha.guano@datamart.com,2024-08-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
88,1758293940,María Carmen Pilataxi Guamán,Auxiliar,+593981029482,maria.pilataxi@datamart.com,2024-09-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
89,0104859401,Blanca Cecilia Chasi Lema,Auxiliar,+593993847283,blanca.chasi@datamart.com,2024-09-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
90,1827364019,Luz María Quinatoa Chango,Auxiliar,+593982736402,luz.quinatoa@datamart.com,2024-10-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
91,1729483011,Gladys Elizabeth Imbaquingo,Auxiliar,+593994827293,gladys.imbaquingo@datamart.com,2024-10-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
92,0911226677,Ana Lucía Quishpe Toaza,Auxiliar,+593987766382,ana.quishpe@datamart.com,2024-11-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
93,1755447733,Silvia Marina Pallo Guamán,Auxiliar,+593995544283,silvia.pallo@datamart.com,2024-11-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
94,1717283019,Gloria Estela Yupa Chicaiza,Auxiliar,+593984728203,gloria.yupa@datamart.com,2024-12-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
95,0923837102,Juana Inés Coque Chimbo,Auxiliar,+593992837201,juana.coque@datamart.com,2024-12-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
96,1759473010,Teresa de Jesús Guanoluisa,Auxiliar,+593981029582,teresa.guanoluisa@datamart.com,2025-01-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
97,0105847019,Hilda Beatriz Masaquiza Lema,Auxiliar,+593993847204,hilda.masaquiza@datamart.com,2025-01-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
98,1828374029,Olga María Chasiliquina Ruiz,Auxiliar,+593982736204,olga.chasiliquina@datamart.com,2025-02-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
99,1729384019,Francisca Elena Simbaña Terán,Auxiliar,+593994827402,francisca.simbana@datamart.com,2025-02-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
100,0912837012,Mercedes Paulina Toapanta Loor,Auxiliar,+593987766304,mercedes.toapanta@datamart.com,2025-03-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
