id_cliente,numero_identificacion,nombre_completo,correo_electronico,telefono,direccion,activo,creado_en,modificado_en,creado_por,modificado_por
23,1750000023,Gabriela Rivas Silva,gabriela.rivas23@gmail.com,+593908000529,"Calle Venezuela N12-57, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
24,1750000024,Jorge Solis Espinosa,jorge.solis24@gmail.com,+593908000552,"Av. 10 de Agosto N16-66, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
25,1750000025,Silvia Gomez Gomez,silvia.gomez25@gmail.com,+593908000575,"Calle Flores N20-75, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
26,1750000026,Jose Rodriguez Torres,jose.rodriguez26@gmail.com,+593908000598,"Av. Republica N24-84, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
27,1750000027,Camila Ramirez Viteri,camila.ramirez27@gmail.com,+593908000621,"Calle Bolivar N28-13, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
28,1750000028,David Diaz Vega,david.diaz28@gmail.com,+593908000644,"Av. Eloy Alfaro N32-22, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
29,1750000029,Valeria Alvear Rodriguez,valeria.alvear29@gmail.com,+593908000667,"Calle Esmeraldas N36-31, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
30,1750000030,Diego Cardenas Castro,diego.cardenas30@gmail.com,+593908000690,"Av. Amazonas N40-40, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
31,1750000031,Andrea Espinosa Morales,andrea.espinosa31@gmail.com,+593908000713,"Calle Guayaquil N44-49, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
32,1750000032,Daniel Vega Paredes,daniel.vega32@gmail.com,+593908000736,"Av. De los Shyris N48-58, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
33,1750000033,Carla Paredes Ramirez,carla.paredes33@gmail.com,+593908000759,"Calle Venezuela N52-67, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
34,1750000034,Mario Martinez Ortiz,mario.martinez34@gmail.com,+593908000782,"Av. 10 de Agosto N56-76, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
35,1750000035,Veronica Sanchez Delgado,veronica.sanchez35@gmail.com,+593908000805,"Calle Flores N60-85, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
36,1750000036,Manuel Flores Martinez,manuel.flores36@gmail.com,+593908000828,"Av. Republica N64-14, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
37,1750000037,Estefania Silva Diaz,estefania.silva37@gmail.com,+593908000851,"Calle Bolivar N68-23, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
38,1750000038,Alejandro Viteri Cabrera,alejandro.viteri38@gmail.com,+593908000874,"Av. Eloy Alfaro N72-32, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
39,1750000039,Adriana Morales Mora,adriana.morales39@gmail.com,+593908000897,"Calle Esmeraldas N76-41, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
40,1750000040,Juan Delgado Sanchez,juan.delgado40@gmail.com,+593908000920,"Av. Amazonas N80-50, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
41,1750000041,Ana Mora Alvear,ana.mora41@gmail.com,+593908000943,"Calle Guayaquil N84-59, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
42,1750000042,Luis Lopez Rivas,luis.lopez42@gmail.com,+593908000966,"Av. De los Shyris N88-68, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
43,1750000043,Gabriela Perez Lopez,gabriela.perez43@gmail.com,+593908000989,"Calle Venezuela N92-77, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
44,1750000044,Jorge Torres Flores,jorge.torres44@gmail.com,+593908001012,"Av. 10 de Agosto N96-86, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
45,1750000045,Silvia Castro Cardenas,silvia.castro45@gmail.com,+593908001035,"Calle Flores N10-15, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
46,1750000046,Jose Ortiz Solis,jose.ortiz46@gmail.com,+593908001058,"Av. Republica N14-24, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
47,1750000047,Camila Cabrera Perez,camila.cabrera47@gmail.com,+593908001081,"Calle Bolivar N18-33, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
48,1750000048,David Rivas Silva,david.rivas48@gmail.com,+593908001104,"Av. Eloy Alfaro N22-42, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
49,1750000049,Valeria Solis Espinosa,valeria.solis49@gmail.com,+593908001127,"Calle Esmeraldas N26-51, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
50,1750000050,Diego Gomez Gomez,diego.gomez50@gmail.com,+593908001150,"Av. Amazonas N30-60, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
51,1750000051,Andrea Rodriguez Torres,andrea.rodriguez51@gmail.com,+593908001173,"Calle Guayaquil N34-69, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
52,1750000052,Daniel Ramirez Viteri,daniel.ramirez52@gmail.com,+593908001196,"Av. De los Shyris N38-78, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
53,1750000053,Carla Diaz Vega,carla.diaz53@gmail.com,+593908001219,"Calle Venezuela N42-87, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
54,1750000054,Mario Alvear Rodriguez,mario.alvear54@gmail.com,+593908001242,"Av. 10 de Agosto N46-16, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
55,1750000055,Veronica Cardenas Castro,veronica.cardenas55@gmail.com,+593908001265,"Calle Flores N50-25, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
56,1750000056,Manuel Espinosa Morales,manuel.espinosa56@gmail.com,+593908001288,"Av. Republica N54-34, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
57,1750000057,Estefania Vega Paredes,estefania.vega57@gmail.com,+593908001311,"Calle Bolivar N58-43, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
58,1750000058,Alejandro Paredes Ramirez,alejandro.paredes58@gmail.com,+593908001334,"Av. Eloy Alfaro N62-52, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
59,1750000059,Adriana Martinez Ortiz,adriana.martinez59@gmail.com,+593908001357,"Calle Esmeraldas N66-61, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
60,1750000060,Juan Sanchez Delgado,juan.sanchez60@gmail.com,+593908001380,"Av. Amazonas N70-70, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
61,1750000061,Ana Flores Martinez,ana.flores61@gmail.com,+593908001403,"Calle Guayaquil N74-79, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
62,1750000062,Luis Silva Diaz,luis.silva62@gmail.com,+593908001426,"Av. De los Shyris N78-88, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
63,1750000063,Gabriela Viteri Cabrera,gabriela.viteri63@gmail.com,+593908001449,"Calle Venezuela N82-17, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
64,1750000064,Jorge Morales Mora,jorge.morales64@gmail.com,+593908001472,"Av. 10 de Agosto N86-26, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
65,1750000065,Silvia Delgado Sanchez,silvia.delgado65@gmail.com,+593908001495,"Calle Flores N90-35, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
66,1750000066,Jose Mora Alvear,jose.mora66@gmail.com,+593908001518,"Av. Republica N94-44, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
67,1750000067,Camila Lopez Rivas,camila.lopez67@gmail.com,+593908001541,"Calle Bolivar N98-53, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
68,1750000068,David Perez Lopez,david.perez68@gmail.com,+593908001564,"Av. Eloy Alfaro N12-62, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
69,1750000069,Valeria Torres Flores,valeria.torres69@gmail.com,+593908001587,"Calle Esmeraldas N16-71, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
70,1750000070,Diego Castro Cardenas,diego.castro70@gmail.com,+593908001610,"Av. Amazonas N20-80, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
71,1750000071,Andrea Ortiz Solis,andrea.ortiz71@gmail.com,+593908001633,"Calle Guayaquil N24-89, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
72,1750000072,Daniel Cabrera Perez,daniel.cabrera72@gmail.com,+593908001656,"Av. De los Shyris N28-18, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
73,1750000073,Carla Rivas Silva,carla.rivas73@gmail.com,+593908001679,"Calle Venezuela N32-27, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
74,1750000074,Mario Solis Espinosa,mario.solis74@gmail.com,+593908001702,"Av. 10 de Agosto N36-36, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
75,1750000075,Veronica Gomez Gomez,veronica.gomez75@gmail.com,+593908001725,"Calle Flores N40-45, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
76,1750000076,Manuel Rodriguez Torres,manuel.rodriguez76@gmail.com,+593908001748,"Av. Republica N44-54, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
77,1750000077,Estefania Ramirez Viteri,estefania.ramirez77@gmail.com,+593908001771,"Calle Bolivar N48-63, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
78,1750000078,Alejandro Diaz Vega,alejandro.diaz78@gmail.com,+593908001794,"Av. Eloy Alfaro N52-72, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
79,1750000079,Adriana Alvear Rodriguez,adriana.alvear79@gmail.com,+593908001817,"Calle Esmeraldas N56-81, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
80,1750000080,Juan Cardenas Castro,juan.cardenas80@gmail.com,+593908001840,"Av. Amazonas N60-10, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
81,1750000081,Ana Espinosa Morales,ana.espinosa81@gmail.com,+593908001863,"Calle Guayaquil N64-19, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
82,1750000082,Luis Vega Paredes,luis.vega82@gmail.com,+593908001886,"Av. De los Shyris N68-28, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
83,1750000083,Gabriela Paredes Ramirez,gabriela.paredes83@gmail.com,+593908001909,"Calle Venezuela N72-37, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
84,1750000084,Jorge Martinez Ortiz,jorge.martinez84@gmail.com,+593908001932,"Av. 10 de Agosto N76-46, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
85,1750000085,Silvia Sanchez Delgado,silvia.sanchez85@gmail.com,+593908001955,"Calle Flores N80-55, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
86,1750000086,Jose Flores Martinez,jose.flores86@gmail.com,+593908001978,"Av. Republica N84-64, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
87,1750000087,Camila Silva Diaz,camila.silva87@gmail.com,+593908002001,"Calle Bolivar N88-73, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
88,1750000088,David Viteri Cabrera,david.viteri88@gmail.com,+593908002024,"Av. Eloy Alfaro N92-82, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
89,1750000089,Valeria Morales Mora,valeria.morales89@gmail.com,+593908002047,"Calle Esmeraldas N96-11, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
90,1750000090,Diego Delgado Sanchez,diego.delgado90@gmail.com,+593908002070,"Av. Amazonas N10-20, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
91,1750000091,Andrea Mora Alvear,andrea.mora91@gmail.com,+593908002093,"Calle Guayaquil N14-29, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
92,1750000092,Daniel Lopez Rivas,daniel.lopez92@gmail.com,+593908002116,"Av. De los Shyris N18-38, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
93,1750000093,Carla Perez Lopez,carla.perez93@gmail.com,+593908002139,"Calle Venezuela N22-47, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
94,1750000094,Mario Torres Flores,mario.torres94@gmail.com,+593908002162,"Av. 10 de Agosto N26-56, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
95,1750000095,Veronica Castro Cardenas,veronica.castro95@gmail.com,+593908002185,"Calle Flores N30-65, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
96,1750000096,Manuel Ortiz Solis,manuel.ortiz96@gmail.com,+593908002208,"Av. Republica N34-74, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
97,1750000097,Estefania Cabrera Perez,estefania.cabrera97@gmail.com,+593908002231,"Calle Bolivar N38-83, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
98,1750000098,Alejandro Rivas Silva,alejandro.rivas98@gmail.com,+593908002254,"Av. Eloy Alfaro N42-12, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
99,1750000099,Adriana Solis Espinosa,adriana.solis99@gmail.com,+593908002277,"Calle Esmeraldas N46-21, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
100,1750000100,Juan Gomez Gomez,juan.gomez100@gmail.com,+593908002300,"Av. Amazonas N50-30, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
101,1750000101,Ana Rodriguez Torres,ana.rodriguez101@gmail.com,+593908002323,"Calle Guayaquil N54-39, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
102,1750000102,Luis Ramirez Viteri,luis.ramirez102@gmail.com,+593908002346,"Av. De los Shyris N58-48, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
103,1750000103,Gabriela Diaz Vega,gabriela.diaz103@gmail.com,+593908002369,"Calle Venezuela N62-57, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
104,1750000104,Jorge Alvear Rodriguez,jorge.alvear104@gmail.com,+593908002392,"Av. 10 de Agosto N66-66, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
105,1750000105,Silvia Cardenas Castro,silvia.cardenas105@gmail.com,+593908002415,"Calle Flores N70-75, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
106,1750000106,Jose Espinosa Morales,jose.espinosa106@gmail.com,+593908002438,"Av. Republica N74-84, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
107,1750000107,Camila Vega Paredes,camila.vega107@gmail.com,+593908002461,"Calle Bolivar N78-13, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
108,1750000108,David Paredes Ramirez,david.paredes108@gmail.com,+593908002484,"Av. Eloy Alfaro N82-22, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
109,1750000109,Valeria Martinez Ortiz,valeria.martinez109@gmail.com,+593908002507,"Calle Esmeraldas N86-31, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
110,1750000110,Diego Sanchez Delgado,diego.sanchez110@gmail.com,+593908002530,"Av. Amazonas N90-40, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
111,1750000111,Andrea Flores Martinez,andrea.flores111@gmail.com,+593908002553,"Calle Guayaquil N94-49, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
112,1750000112,Daniel Silva Diaz,daniel.silva112@gmail.com,+593908002576,"Av. De los Shyris N98-58, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
113,1750000113,Carla Viteri Cabrera,carla.viteri113@gmail.com,+593908002599,"Calle Venezuela N12-67, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
114,1750000114,Mario Morales Mora,mario.morales114@gmail.com,+593908002622,"Av. 10 de Agosto N16-76, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
115,1750000115,Veronica Delgado Sanchez,veronica.delgado115@gmail.com,+593908002645,"Calle Flores N20-85, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
116,1750000116,Manuel Mora Alvear,manuel.mora116@gmail.com,+593908002668,"Av. Republica N24-14, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
117,1750000117,Estefania Lopez Rivas,estefania.lopez117@gmail.com,+593908002691,"Calle Bolivar N28-23, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
118,1750000118,Alejandro Perez Lopez,alejandro.perez118@gmail.com,+593908002714,"Av. Eloy Alfaro N32-32, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
119,1750000119,Adriana Torres Flores,adriana.torres119@gmail.com,+593908002737,"Calle Esmeraldas N36-41, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
120,1750000120,Juan Castro Cardenas,juan.castro120@gmail.com,+593908002760,"Av. Amazonas N40-50, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
121,1750000121,Ana Ortiz Solis,ana.ortiz121@gmail.com,+593908002783,"Calle Guayaquil N44-59, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
122,1750000122,Luis Cabrera Perez,luis.cabrera122@gmail.com,+593908002806,"Av. De los Shyris N48-68, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
123,1750000123,Gabriela Rivas Silva,gabriela.rivas123@gmail.com,+593908002829,"Calle Venezuela N52-77, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
124,1750000124,Jorge Solis Espinosa,jorge.solis124@gmail.com,+593908002852,"Av. 10 de Agosto N56-86, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
125,1750000125,Silvia Gomez Gomez,silvia.gomez125@gmail.com,+593908002875,"Calle Flores N60-15, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
126,1750000126,Jose Rodriguez Torres,jose.rodriguez126@gmail.com,+593908002898,"Av. Republica N64-24, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
127,1750000127,Camila Ramirez Viteri,camila.ramirez127@gmail.com,+593908002921,"Calle Bolivar N68-33, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
128,1750000128,David Diaz Vega,david.diaz128@gmail.com,+593908002944,"Av. Eloy Alfaro N72-42, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
129,1750000129,Valeria Alvear Rodriguez,valeria.alvear129@gmail.com,+593908002967,"Calle Esmeraldas N76-51, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
130,1750000130,Diego Cardenas Castro,diego.cardenas130@gmail.com,+593908002990,"Av. Amazonas N80-60, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
131,1750000131,Andrea Espinosa Morales,andrea.espinosa131@gmail.com,+593908003013,"Calle Guayaquil N84-69, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
132,1750000132,Daniel Vega Paredes,daniel.vega132@gmail.com,+593908003036,"Av. De los Shyris N88-78, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
133,1750000133,Carla Paredes Ramirez,carla.paredes133@gmail.com,+593908003059,"Calle Venezuela N92-87, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
