id_usuario_sistema,id_empleado,username,password_hash,rol,activo,creado_en,modificado_en,creado_por,modificado_por
29,29,laura_cristina_miranda_rosales29,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
30,30,felipe_antonio_novoa_plaza30,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
31,31,carla_estefanía_maldonado_villa31,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
32,32,braulio_ernesto_jaramillo_cobo32,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
33,33,isabel_carolina_serrano_flores33,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
34,34,jonathan_david_vivanco_ojeda34,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
35,35,verónica_alexandra_guitiérrez35,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
36,36,leonardo_gabriel_arias_terán36,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
37,37,mariana_de_jesús_palacios_soler37,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
38,38,emilio_josé_coronel_carrión38,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
39,39,ximena_patricia_soria_lucero39,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
40,40,fernando_alfonso_galarza_real40,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
41,41,adriana_elizabeth_chiriboga_paz41,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
42,42,roberto_carlos_villacís_león42,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
43,43,tatiana_maria_bustamante_vélez43,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
44,44,gabriel_ignacio_freire_ortiz44,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
45,45,cristina_alejandra_vallejo_luz45,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
46,46,manuel_alberto_solórzano_mora46,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
47,47,álvaro_javier_montenegro_ruiz47,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
48,48,héctor_danilo_chaves_bastidas48,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
49,49,richard_geovanny_pinargote_aliat49,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
50,50,vicente_eduardo_orellana_noboa50,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
51,51,césar_augusto_samaniego_luna51,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
52,52,gonzalo_mauricio_falconí_vera52,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
53,53,franklin_stalin_armijos_moro53,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
54,54,guillermo_enrique_segovia_melo54,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
55,55,luis_alfredo_piedra_cordero55,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
56,56,alex_giovanny_portilla_ayala56,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
57,57,walter_leonel_sisalema_yánez57,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
58,58,hugo_ernesto_rivadeneira_terán58,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
59,59,nelson_fabián_quishpe_guamán59,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
60,60,wilson_patricio_saltos_vaca60,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
61,61,nixon_alfredo_toapanta_tapia61,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
62,62,jorge_luis_sangucho_chicaiza62,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
63,63,marco_vinicio_chimbo_pilamunga63,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
64,64,edwin_giovanny_simbaña_tipán64,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
65,65,christian_roberto_yugcha_masa65,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
66,66,bryan_alexander_narváez_loza66,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
67,67,kevin_steven_tipán_chicaiza67,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
68,68,erick_francisco_benavides_paz68,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
69,69,jonathan_alexis_carvajal_mora69,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
70,70,jefferson_david_males_farinango70,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
71,71,anthony_joel_cando_lema71,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
72,72,william_geovanny_chango_toaza72,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
73,73,danny_michael_pilataxi_guano73,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
74,74,marlon_vinicio_chuquimarca_calo74,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
75,75,henry_javier_quishpe_tituaña75,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
76,76,josé_luis_guamán_morocho76,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
77,77,luis_antonio_chasiliquina_cholo77,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
78,78,efraín_alejandro_quinatoa_lema78,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
79,79,darwin_patricio_imbaquingo_ruiz79,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
80,80,alexis_stalin_sisalema_chango80,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
81,81,carlos_alberto_pallo_toapanta81,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
82,82,ángel_geovanny_yupa_chimbo82,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
83,83,santiago_israel_coque_toaza83,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
84,84,jimmy_alexander_guanoluisa_lema84,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
85,85,juan_gabriel_masaquiza_chango85,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
86,86,rosa_elena_chimborazo_lema86,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
87,87,martha_beatriz_guano_toaza87,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
88,88,maría_carmen_pilataxi_guamán88,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
89,89,blanca_cecilia_chasi_lema89,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
90,90,luz_maría_quinatoa_chango90,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
91,91,gladys_elizabeth_imbaquingo91,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
92,92,ana_lucía_quishpe_toaza92,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
93,93,silvia_marina_pallo_guamán93,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
94,94,gloria_estela_yupa_chicaiza94,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
95,95,juana_inés_coque_chimbo95,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
96,96,teresa_de_jesús_guanoluisa96,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
97,97,hilda_beatriz_masaquiza_lema97,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
98,98,olga_maría_chasiliquina_ruiz98,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
99,99,francisca_elena_simbaña_terán99,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
100,100,mercedes_paulina_toapanta_loor100,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
